id,percent_change_24h,percent_change_7d
t-coin,-1.19,-44.79
zeusshield,-1.14,10.53
safecoin,-1.12,9.27
healthywormcoin,-1.12,-54.48
kolion,-1.1,18.58
trustplus,-1.09,26.89
obits,-1.06,24.56
maker,-1.04,-1.9
golos-gold,-1.03,13.24
rasputin-online-coin,-0.94,4.49
litecoin-gold,-0.93,18.65
hedge,-0.92,-11.72
intelligent-trading-tech,-0.91,-9.68
das,-0.89,2.59
dogecoin,-0.81,9.49
ormeus-coin,-0.76,-14.08
wings,-0.75,9.59
veriumreserve,-0.74,4.1
psilocybin,-0.72,-16.79
sharechain,-0.71,20.34
canada-ecoin,-0.7,39.42
nimiq,-0.69,15.38
cindicator,-0.63,4.36
reecoin,-0.56,-32.91
jewels,-0.55,-8.57
real,-0.54,-3.07
grantcoin,-0.53,-0.34
gameunits,-0.53,-44.35
ties-network,-0.5,-35.53
musicoin,-0.48,2.52
goldcoin,-0.47,-4.99
briacoin,-0.46,-26.58
pokecoin,-0.43,26.93
opescoin,-0.42,21.64
tristar-coin,-0.42,-27.99
whalecoin,-0.41,30.15
nem,-0.39,14.56
bitcloud,-0.37,-10.02
energo,-0.32,-5.01
particl,-0.25,3.03
blockcat,-0.25,2.51
clearpoll,-0.22,-17.54
roofs,-0.18,-29.5
lykke,-0.14,-12.14
qash,-0.07,-31.5
tether,-0.07,-0.06
arbit,-0.05,19.61
helleniccoin,-0.04,-27.25
cybercoin,-0.03,10.43
sumokoin,-0.02,-13.25
environ,-0.02,-47.88
wowecoin,0.0,-0.0
digicube,-0.0,10.51
secretcoin,0.04,28.76
smartbillions,0.05,-4.89
bitalphacoin,0.07,4.09
octocoin,0.09,41.43
sonm,0.19,12.28
firstcoin,0.24,-2.91
fujinto,0.24,63.5
russian-mining-coin,0.25,93.92
e-gulden,0.26,22.35
nexium,0.27,1.73
cryptogenic-bullion,0.28,-25.94
prcoin,0.28,1.48
monetha,0.33,34.18
dao-casino,0.33,-5.84
unikoin-gold,0.37,6.92
oax,0.39,7.08
bytecoin-bcn,0.39,26.99
cannation,0.41,53.1
copico,0.43,-14.79
b2bx,0.45,-31.37
astro,0.46,5.11
substratum,0.48,9.55
waves-community-token,0.54,68.6
bitboost,0.54,3.75
pesetacoin,0.55,8.27
blazercoin,0.57,-6.45
fargocoin,0.63,6.5
privatix,0.64,-17.16
casinocoin,0.68,-1.42
propy,0.71,9.77
shellcoin,0.73,-27.84
europecoin,0.77,7.21
stox,0.77,-2.41
cashme,0.77,11.23
bitbar,0.78,29.91
litecoin,0.8,3.68
chncoin,0.86,299.8
omicron,0.89,8.59
starcredits,0.9,6.83
segwit2x,0.91,1.54
etherparty,0.95,16.2
falcoin,0.99,-71.64
dubstep,0.99,3.81
0x,1.03,2.62
novacoin,1.04,-16.49
supercoin,1.05,61.46
bismuth,1.06,21.56
shield-xsh,1.07,-27.45
votecoin,1.07,27.77
gambit,1.09,30.55
leacoin,1.09,-18.27
mtmgaming,1.12,1.74
neo-gold,1.33,12.36
curecoin,1.34,38.7
regalcoin,1.35,20.61
bitsoar,1.39,-18.49
xenon,1.39,83.47
desire,1.39,24.69
postcoin,1.44,-23.16
aurumcoin,1.45,36.76
blocktix,1.47,103.65
syscoin,1.56,33.43
eot-token,1.63,11.54
smartcoin,1.65,2.89
bitusd,1.67,2.21
dent,1.7,2.07
8bit,1.76,12.89
vector,1.77,18.27
aeron,1.77,-15.64
enigma-project,1.82,35.92
voisecom,1.82,68.42
biteur,1.97,2.41
unitus,1.97,2.04
paypex,2.06,48.17
btctalkcoin,2.06,65.41
president-johnson,2.1,-4.62
martexcoin,2.12,4.85
corion,2.14,-7.31
unify,2.15,36.21
zilbercoin,2.26,1.7
bitcedi,2.28,69.71
daxxcoin,2.29,-22.56
ecobit,2.29,5.94
florincoin,2.29,13.81
