,id,market_cap_usd
536,carboncoin,1116676.0
537,newbium,1116675.0
538,footy-cash,1115391.0
539,renos,1102759.0
540,42-coin,1096397.0
541,accelerator-network,1082216.0
542,capricoin,1076720.0
543,ultracoin,1073067.0
544,cryptocarbon,1064369.0
545,gcoin,1060269.0
546,qvolta,1060034.0
547,pandacoin-pnd,1020077.0
548,fuelcoin,1017307.0
549,inflationcoin,1004506.0
550,fujicoin,1003313.0
551,unify,995348.0
552,litedoge,984234.0
553,trackr,972630.0
554,opal,964125.0
555,eltcoin,958770.0
556,erc20,949404.0
557,nubits,946355.0
558,minereum,931983.0
559,starcredits,930164.0
560,bitbar,927775.0
561,maxcoin,925303.0
562,xios,894862.0
563,phoenixcoin,890234.0
564,machinecoin,890210.0
565,btsr,888650.0
566,zero,884792.0
567,inpay,875858.0
568,tagcoin,873392.0
569,kobocoin,856437.0
570,moin,855400.0
571,mazacoin,845844.0
572,sovereign-hero,835919.0
573,bitpark-coin,834983.0
574,btctalkcoin,816936.0
575,bolivarcoin,800710.0
576,dashcoin,793709.0
577,ethereumcash,775468.0
578,ccore,764867.0
579,postoken,750198.0
580,whalecoin,731997.0
581,bitbtc,722432.0
582,smartcoin,700680.0
583,authorship,685802.0
584,netko,659042.0
585,crystal-clear,647847.0
586,helleniccoin,642194.0
587,happycoin,633500.0
588,cream,632120.0
589,pakcoin,631968.0
590,billionaire-token,583147.0
591,deutsche-emark,582211.0
592,vsync-vsx,570704.0
593,bitboost,568879.0
594,iticoin,565798.0
595,smileycoin,565092.0
596,joulecoin,552576.0
597,abjcoin,551703.0
598,biblepay,548274.0
599,dalecoin,544291.0
600,universe,543207.0
601,altcommunity-coin,535820.0
602,fujinto,534888.0
603,trumpcoin,528102.0
604,tychocoin,528076.0
605,cannacoin,519821.0
606,bitcoinfast,508021.0
607,colossuscoinxt,503858.0
608,ethereum-gold,500321.0
609,fluttercoin,482748.0
610,bolenum,482559.0
611,bitcoin-scrypt,479251.0
612,veltor,475421.0
613,elcoin-el,468826.0
614,credence-coin,464437.0
615,icoin,460518.0
616,nyancoin,412173.0
617,briacoin,411702.0
618,eternity,405750.0
619,titcoin,403895.0
620,digitalcoin,403611.0
621,bit20,399816.0
622,oyster-pearl,397823.0
623,ethereum-dark,393159.0
624,coin2-1,390373.0
625,zurcoin,381215.0
626,piggycoin,367524.0
627,octanox,361604.0
628,808coin,356585.0
629,fucktoken,353339.0
630,zcash-gold,345049.0
631,eaglecoin,341481.0
632,blakestar,340217.0
633,virtacoin,340105.0
634,kittehcoin,333214.0
635,octocoin,324840.0
636,comet,323741.0
637,atomic-coin,320360.0
638,postcoin,311698.0
639,daxxcoin,309881.0
640,senderon,308247.0
641,ambercoin,289793.0
642,platinumbar,281491.0
643,ecocoin,278912.0
644,campuscoin,275808.0
645,idice,275479.0
646,prototanium,271191.0
647,blakecoin,269787.0
648,tekcoin,266798.0
649,rupaya,261887.0
650,gapcoin,260950.0
651,bitgem,256201.0
652,bitcoin-21,254936.0
653,triangles,245824.0
654,kilocoin,245614.0
655,pascal-lite,239666.0
656,mojocoin,226506.0
657,mineum,226324.0
658,virtacoinplus,222478.0
659,wyvern,222406.0
660,evil-coin,221364.0
661,honey,220949.0
662,spacecoin,219513.0
663,lanacoin,214173.0
664,debitcoin,213497.0
665,monkey-project,213178.0
666,iethereum,209239.0
667,chancoin,206144.0
668,votecoin,204073.0
669,truckcoin,197594.0
670,bitcoal,196896.0
671,embercoin,194071.0
672,jin-coin,188537.0
673,bitsilver,188323.0
674,catcoin,187802.0
675,bitcoin-planet,181493.0
676,sprouts,179968.0
677,futurexe,176709.0
678,kayicoin,176411.0
679,redcoin,174730.0
680,securecoin,174597.0
681,unrealcoin,173145.0
682,revolvercoin,164787.0
683,leviarcoin,161931.0
684,acoin,159755.0
685,prcoin,157230.0
686,ohm-wallet,156559.0
687,franko,155474.0
688,scorecoin,151449.0
689,zetamicron,150233.0
690,shadow-token,149609.0
691,flaxscript,145997.0
692,funcoin,142460.0
693,droxne,141808.0
694,goldpieces,141553.0
695,neuro,141286.0
696,boostcoin,140921.0
697,marijuanacoin,140429.0
698,beatcoin,138505.0
699,c-bit,138183.0
700,ebitcoin-cash,135041.0
701,bitgold,134848.0
702,coinonatx,125248.0
703,cryptojacks,125101.0
704,mustangcoin,119244.0
705,confido,119154.0
706,ammo-rewards,116781.0
707,reecoin,116579.0
708,cachecoin,116448.0
709,argentum,112687.0
710,litecoin-plus,112019.0
711,biteur,111526.0
712,anarchistsprime,110035.0
713,women,109787.0
714,allsafe,109691.0
715,x-coin,109086.0
716,virta-unique-coin,102981.0
717,sugar-exchange,102205.0
718,eot-token,100234.0
719,sixeleven,94871.0
720,litecred,93805.0
721,hexx,92881.0
722,ethgas,89112.0
723,paycon,86484.0
724,iconic,81603.0
725,metal-music-coin,79797.0
726,beavercoin,76424.0
727,globaltoken,75842.0
728,bowscoin,75000.0
729,printerium,73108.0
730,artex-coin,70501.0
731,dibcoin,67608.0
732,asiadigicoin,65508.0
733,ebtc,63661.0
734,steps,62921.0
735,veros,55686.0
736,coimatic-2,53540.0
737,eryllium,52691.0
738,macron,51968.0
739,litebitcoin,49988.0
740,master-swiscoin,49134.0
741,kronecoin,47434.0
742,interzone,47174.0
743,cybcsec,39979.0
744,network-token,36506.0
745,corethum,34369.0
746,playercoin,30760.0
747,litecoin-ultra,29679.0
748,antilitecoin,27601.0
749,crevacoin,27385.0
750,jobscoin,26531.0
751,grimcoin,26262.0
752,milocoin,25012.0
753,rawcoin2,21162.0
754,argus,17433.0
755,elysium,17038.0
756,levoplus,15337.0
757,geysercoin,8796.0
758,harmonycoin-hmc,6330.0
759,abncoin,856.0
760,xplay,26900600.0
761,bcap,18896700.0
762,stakecoin-stcn,13199580.0
763,e-coin,11230338.0
764,credo,9797365.0
765,encryptotel,9033005.0
766,bankcoin,8822856.0
767,ecobit,5485067.0
768,yashcoin,4379408.0
769,prospectors-gold,4091693.0
770,arcade-token,3894552.0
771,fimkrypto,2887816.0
772,adelphoi,2631471.0
773,embers,2498515.0
774,smart-investment-fund-token,2435575.0
775,adshares,2415285.0
776,real-estate-tokens,1831178.0
777,intelligent-trading-tech,1807399.0
778,cryptogenic-bullion,1740255.0
779,colossuscoin-v2,1627357.0
780,coin,1394821.0
781,hitcoin,1375892.0
782,shorty,1326300.0
783,incakoin,1283021.0
784,russiacoin,1257912.0
785,orbitcoin,1161007.0
786,shadowcash,1036253.0
787,ultimate-secure-cash,1035883.0
788,metalcoin,943261.0
789,ethbits,935148.0
790,emphy,927723.0
791,noblecoin,864641.0
792,version,769031.0
793,ethbet,738393.0
794,hobonickels,717061.0
795,netcoin,689530.0
796,valorbit,656190.0
797,teslacoin,617494.0
798,goodomy,607437.0
799,bitstar,579888.0
800,gimli,575899.0
801,etheriya,563972.0
802,aurumcoin,555724.0
803,bittokens,526646.0
804,goldreserve,509202.0
805,trollcoin,500864.0
806,rasputin-online-coin,479624.0
807,blockpay,458619.0
808,tigercoin,457585.0
809,casino,448617.0
810,chesscoin,434827.0
811,fincoin,432342.0
812,kushcoin,425988.0
813,cryptoforecast,412140.0
814,sterlingcoin,408439.0
815,berncash,407427.0
816,swagbucks,402626.0
817,wayguide,400555.0
818,guncoin,390387.0
819,the-cypherfunks,375825.0
820,globalcoin,375101.0
821,8bit,369423.0
822,shilling,366173.0
823,sproutsextreme,357647.0
824,purevidz,331399.0
825,bigup,330110.0
826,stress,328292.0
827,corgicoin,326658.0
828,sativacoin,321346.0
829,unicoin,321094.0
830,upfiring,317471.0
831,digital-developers-fund,310522.0
832,sacoin,307172.0
833,cashcoin,303107.0
834,lottocoin,302945.0
835,flycoin,287821.0
836,digicube,285898.0
837,usde,283837.0
838,swing,273430.0
839,evotion,265632.0
840,gaia,265436.0
841,litebar,261590.0
842,joincoin,261421.0
843,rubies,258031.0
844,i0coin,250765.0
845,satoshimadness,250332.0
846,darsek,249611.0
847,qubitcoin,248448.0
848,globalboost-y,244378.0
849,halcyon,244091.0
850,freicoin,243972.0
851,hodlcoin,234326.0
852,bunnycoin,227643.0
853,ganjacoin,217244.0
854,wmcoin,214665.0
855,cypher,214243.0
856,yacoin,209894.0
857,ripto-bux,205509.0
858,grantcoin,194311.0
859,philosopher-stones,188885.0
860,global-tour-coin,183240.0
861,tittiecoin,182201.0
862,ratecoin,172407.0
863,hempcoin-hmp,169748.0
864,mincoin,168658.0
865,antibitcoin,166082.0
866,aricoin,164358.0
867,eurocoin,162549.0
868,px,155715.0
869,cannation,155049.0
870,firecoin,154844.0
871,quazarcoin,151271.0
872,leacoin,150222.0
873,parallelcoin,149257.0
874,emerald,148033.0
875,virtualcoin,147334.0
876,photon,146615.0
877,dollarcoin,145850.0
878,creatio,143784.0
879,islacoin,140723.0
880,aquariuscoin,140071.0
881,gpu-coin,136702.0
882,paycoin2,136297.0
883,bumbacoin,134898.0
884,dreamcoin,133023.0
885,marscoin,127344.0
886,prime-xi,123743.0
887,independent-money-system,115537.0
888,bitz,113592.0
889,tattoocoin,112752.0
890,jetcoin,111933.0
891,coexistcoin,111897.0
892,crypto,109940.0
893,sling,109701.0
894,emoneypower,109357.0
895,sooncoin,109182.0
896,kurrent,107554.0
897,ronpaulcoin,106886.0
898,chncoin,104067.0
899,gameunits,103726.0
900,piecoin,102212.0
901,guccionecoin,101527.0
902,bitasean,101233.0
903,nevacoin,100552.0
904,cagecoin,99466.0
905,ether-for-the-rest-of-the-world,97235.0
906,quatloo,96585.0
907,secretcoin,96262.0
908,allion,96184.0
909,slimcoin,93451.0
910,californium,93001.0
911,tajcoin,90921.0
912,bipcoin,86533.0
913,uro,86407.0
914,bitquark,85218.0
915,theresa-may-coin,83841.0
916,gold-pressed-latinum,82288.0
917,money,81291.0
918,vector,81102.0
919,chronos,78906.0
920,billarycoin,78757.0
921,spots,75491.0
922,vaperscoin,75086.0
923,electra,74332.0
924,popularcoin,74085.0
925,mindcoin,73784.0
926,warp,73315.0
927,jewels,73230.0
928,arbit,71864.0
929,icobid,70561.0
930,ponzicoin,70356.0
931,blackstar,69647.0
932,soilcoin,68511.0
933,rimbit,67850.0
934,kibicoin,65324.0
935,digital-rupees,63913.0
936,compucoin,63866.0
937,exchangen,63813.0
938,cryptoworldx-token,59706.0
939,braincoin,55574.0
940,orlycoin,55024.0
941,cryptoescudo,54092.0
942,300-token,52593.0
943,vip-tokens,52208.0
944,bios-crypto,52105.0
945,coinonat,51761.0
946,ride-my-car,50688.0
947,dappster,50049.0
948,benjirolls,49766.0
949,useless-ethereum-token,48175.0
950,impulsecoin,48130.0
951,gamebet-coin,47888.0
952,crtcoin,47609.0
953,solarflarecoin,47565.0
954,fuzzballs,46534.0
955,torcoin-tor,46314.0
956,blazecoin,45744.0
