id,percent_change_24h,percent_change_7d
ox-fina,-4.05,0.15
pascal-coin,-2.91,0.15
bitbase,-32.81,0.16
neo,-7.28,0.2
wild-crypto,-30.6,0.22
singulardtv,-12.46,0.42
zencash,-8.47,0.42
evotion,4.69,0.46
aeternity,-7.03,0.52
basic-attention-token,-5.5,0.59
hush,7.59,0.61
blocknet,-8.76,0.64
pulse,12.94,0.7
droxne,-1.32,0.76
factom,-2.74,0.83
visio,-18.12,0.85
luckchain,29.43,0.88
bitcoindark,-6.33,0.89
bitqy,-13.16,0.91
paccoin,-3.88,1.0
htmlcoin,-35.51,1.07
bitcoin-plus,-4.53,1.14
rubies,-8.4,1.2
parallelcoin,17.76,1.39
xonecoin,4.65,1.39
blockv,-12.98,1.41
korecoin,-3.16,1.46
prcoin,0.28,1.48
unrealcoin,3.67,1.51
segwit2x,0.91,1.54
gcoin,-10.87,1.6
trackr,-8.3,1.63
zilbercoin,2.26,1.7
nexium,0.27,1.73
audiocoin,-1.42,1.73
mtmgaming,1.12,1.74
sexcoin,-10.65,1.76
the-champcoin,7.02,1.77
interstellar-holdings,-1.36,1.95
komodo,-10.03,2.02
unitus,1.97,2.04
biobar,6.27,2.05
dent,1.7,2.07
eltc,10.21,2.07
gold-pressed-latinum,-2.96,2.07
bitusd,1.67,2.21
biteur,1.97,2.41
pillar,-5.08,2.42
energycoin,4.93,2.46
blockcat,-0.25,2.51
musicoin,-0.48,2.52
das,-0.89,2.59
0x,1.03,2.62
smartcoin,1.65,2.89
zennies,10.85,2.89
chronos,13.08,2.9
decent,-14.89,2.92
sterlingcoin,-4.59,3.02
particl,-0.25,3.03
cybcsec,-13.05,3.06
colossuscoinxt,29.76,3.14
pascal-lite,19.79,3.15
quazarcoin,4.91,3.23
iconomi,-4.75,3.25
qwark,-2.35,3.27
bitsilver,6.04,3.27
blitzcash,-1.98,3.38
eccoin,6.31,3.45
mysterium,-8.53,3.49
golem-network-tokens,-6.03,3.53
bitbay,-14.3,3.57
bitgold,5.37,3.57
gulden,6.42,3.63
litecoin,0.8,3.68
kayicoin,41.9,3.69
bitboost,0.54,3.75
dubstep,0.99,3.81
omisego,-8.06,3.93
bitalphacoin,0.07,4.09
veriumreserve,-0.74,4.1
leocoin,3.56,4.11
dollar-online,22.19,4.16
encryptotel,-30.02,4.17
tajcoin,6.01,4.2
adtoken,-1.86,4.21
pabyosi-coin-special,7.32,4.27
cindicator,-0.63,4.36
accelerator-network,-4.57,4.39
quatloo,-13.56,4.41
funfair,-7.51,4.43
veltor,-20.0,4.44
rasputin-online-coin,-0.94,4.49
scorecoin,20.04,4.51
e-dinar-coin,2.78,4.58
vericoin,-7.02,4.63
minereum,-4.22,4.7
litedoge,6.06,4.7
eboostcoin,-2.76,4.74
lunyr,-4.85,4.77
martexcoin,2.12,4.85
fapcoin,26.66,4.95
breakout,-2.98,5.03
astro,0.46,5.11
decision-token,-8.24,5.13
ripio-credit-network,-9.11,5.16
rupaya,73.36,5.39
rcoin,6.31,5.41
influxcoin,3.03,5.54
databits,-3.54,5.63
cofound-it,-16.88,5.67
sphre-air,13.17,5.71
patientory,-12.59,5.77
primecoin,-3.58,5.82
deutsche-emark,4.08,5.88
bitcny,3.01,5.9
ecobit,2.29,5.94
bnrtxcoin,-5.31,5.97
tigercoin,8.74,5.97
kickico,3.56,6.0
bitstar,-4.12,6.04
bestchain,15.93,6.11
aricoin,-8.92,6.12
mmxvi,9.8,6.12
cvcoin,7.91,6.17
spreadcoin,-8.61,6.17
blazecoin,-7.13,6.33
roulettetoken,5.62,6.47
fargocoin,0.63,6.5
international-diamond,28.65,6.66
bitvolt,38.77,6.66
pluscoin,9.56,6.66
todaycoin,18.12,6.76
innova,-7.87,6.79
edrcoin,9.97,6.79
quark,7.65,6.81
starcredits,0.9,6.83
unikoin-gold,0.37,6.92
district0x,-10.68,7.04
solarflarecoin,-22.27,7.06
oax,0.39,7.08
cheapcoin,6.31,7.08
civic,-12.84,7.18
europecoin,0.77,7.21
coimatic-3,-2.41,7.29
myriad,-1.34,7.29
legends-room,2.44,7.32
atmos,10.34,7.38
eltcoin,14.8,7.41
mergecoin,-1.43,7.41
reddcoin,-7.06,7.51
evergreencoin,-1.81,7.52
blockchain-index,-2.58,7.53
cryptoworldx-token,6.29,7.77
clams,5.4,7.84
beavercoin,7.48,7.87
dentacoin,9.02,7.91
geocoin,-7.91,8.04
metal,-11.57,8.17
chancoin,8.46,8.18
pesetacoin,0.55,8.27
purevidz,-6.32,8.3
gaycoin,-17.08,8.37
zephyr,21.75,8.39
library-credit,-14.17,8.39
bubble,-17.62,8.43
speedcash,2.94,8.47
ratecoin,8.48,8.52
flash,6.31,8.54
omicron,0.89,8.59
enjin-coin,-1.23,8.63
gridcoin,4.11,8.67
maxcoin,5.3,8.84
unicoin,-3.07,9.09
bitshares,9.2,9.18
cloakcoin,4.7,9.2
rlc,-17.26,9.23
mojocoin,-12.82,9.26
safecoin,-1.12,9.27
synereo,-11.89,9.34
spectrecoin,8.38,9.35
miners-reward-token,-1.25,9.39
guncoin,4.31,9.46
primalbase,-5.47,9.47
dogecoin,-0.81,9.49
swagbucks,5.21,9.53
substratum,0.48,9.55
wings,-0.75,9.59
dibcoin,-5.9,9.66
digipulse,5.18,9.68
propy,0.71,9.77
joincoin,75.41,9.8
elysium,-3.68,9.87
rimbit,2.91,9.94
expanse,-6.57,10.02
soarcoin,3.79,10.18
smart-investment-fund-token,-3.31,10.26
apx,-3.95,10.31
cybercoin,-0.03,10.43
allion,11.71,10.46
adelphoi,25.5,10.48
digicube,-0.0,10.51
zeusshield,-1.14,10.53
dash,-3.31,10.64
magi,3.8,10.78
radium,-12.55,10.95
mobilego,-4.89,11.08
quotient,2.57,11.09
power-ledger,-6.72,11.15
zclassic,3.48,11.2
high-gain,43.61,11.22
cashme,0.77,11.23
viberate,-12.59,11.39
flaxscript,32.83,11.4
airswap,-2.2,11.43
atmcoin,2.75,11.52
eot-token,1.63,11.54
antibitcoin,-8.19,11.57
zcoin,20.4,11.6
farad,-3.76,11.68
bt1-cst,5.42,11.81
vpncoin,-12.77,11.82
litebar,-13.01,11.83
breakout-stake,-2.04,11.95
digitalnote,-4.65,12.15
zetacoin,10.65,12.2
zoin,-2.53,12.22
sonm,0.19,12.28
moin,2.76,12.34
neo-gold,1.33,12.36
crave,7.83,12.43
batcoin,8.22,12.47
faircoin,-3.45,12.47
icon,10.11,12.51
quantum-resistant-ledger,-2.55,12.59
draftcoin,5.1,12.61
bitasean,-14.69,12.75
sync,70.1,12.79
aquariuscoin,21.31,12.82
8bit,1.76,12.89
boostcoin,32.51,12.89
life,-1.86,12.9
goodomy,-27.44,13.0
augur,-7.71,13.02
thegcccoin,7.33,13.11
digibyte,-4.95,13.21
golos-gold,-1.03,13.24
prime-xi,7.11,13.27
9coin,30.47,13.28
digital-money-bits,3.81,13.28
growers-international,-4.1,13.33
startcoin,-2.14,13.35
gnosis-gno,-8.57,13.35
interzone,38.49,13.45
vivo,19.96,13.58
save-and-gain,112.59,13.79
florincoin,2.29,13.81
kucoin-shares,-4.96,13.97
protean,20.87,14.0
kyber-network,-9.24,14.04
rublebit,-1.89,14.1
genstake,3.72,14.16
rubycoin,-5.94,14.37
ego,6.31,14.48
nem,-0.39,14.56
xaurum,-6.93,14.84
riecoin,33.74,14.99
golfcoin,6.27,15.14
ugain,6.31,15.17
cryptonite,-5.38,15.22
redcoin,8.9,15.27
swing,5.74,15.32
pinkcoin,-4.2,15.32
nimiq,-0.69,15.38
bitconnect,3.7,15.49
sydpak,6.04,15.54
shorty,6.31,15.67
bumbacoin,6.31,15.7
lisk,-2.52,15.79
metal-music-coin,6.3,15.95
maidsafecoin,3.82,16.14
clinton,2.42,16.18
etherparty,0.95,16.2
project-decorum,6.57,16.22
cryptoforecast,2.52,16.23
vtorrent,-1.88,16.25
counterparty,18.03,16.33
blackcoin,-5.0,16.37
osmiumcoin,8.47,16.41
ripto-bux,9.67,16.44
namecoin,26.47,16.5
dynamic,3.82,16.61
etheriya,9.2,16.67
delphy,-1.68,16.69
axiom,6.31,16.72
altcommunity-coin,69.11,16.84
stratis,-6.64,16.87
embers,29.28,16.97
bitcrystals,6.52,16.98
wowcoin,6.45,17.05
posex,6.31,17.07
flycoin,6.1,17.13
pure,5.22,17.38
crtcoin,6.31,17.39
hempcoin-hmp,6.27,17.39
px,6.27,17.39
impulsecoin,6.31,17.44
the-vegan-initiative,12.56,17.44
teamup,6.31,17.44
quebecoin,6.31,17.44
digital-bullion-gold,8.13,17.44
moneta2,6.31,17.44
applecoin-apw,6.27,17.44
bitcoin,7.33,17.45
hitcoin,6.31,17.49
usde,6.31,17.49
cryptoescudo,59.46,17.49
p7coin,6.3,17.49
uncoin,6.31,17.49
